Numeric Link Value,Link Type Usage,Category id-1,Category id-2
2,Publication resulting from Grant,Publication,Grant
8,Publication Author,Publication,User
9,Publication Editor,Publication,User
12,Contract to Payment,Grant (Contract),Grant (Payment)
16,Grant to Funding Round,Grant,Equipment (Funding Round)
17,Grant Recipient,Grant,User
40,Funding Round to Fund,Equipment (Funding Round),Equipment (Fund)
43,Postgraduate Student on Grant,User,Grant
44,Key Researcher on Grant,User,Grant
82,Publication Translator,Publication,User
92,Publication Contributor,Publication,User
95,PhD Candidate on Grant,User,Grant
96,Postdoctoral Fellow on Grant,User,Grant
97,Key Personnel on Grant,User,Grant
117,Personnel on Grant,User,Grant
118,Project Lead on Grant,User,Grant
119,Co-project Leader on Grant,User,Grant
120,Principal Investigator on Grant,User,Grant
121,Co-principal Investigator on Grant,User,Grant
122,Co-investigator on Grant,User,Grant
125,Consultant on Grant,User,Grant
126,Collaborator on Grant,User,Grant
133,Clinical Evaluator on Grant,User,Grant
134,Research Assistant on Grant,User,Grant
135,Supervisor on Grant,User,Grant
136,Programme Co-ordinator on Grant,User,Grant
137,Programme Director on Grant,User,Grant
138,Researcher on Grant,User,Grant
139,Technician on Grant,User,Grant
141,Administrator on Grant,User,Grant
231,Primary Fund to Secondary Fund,Equipment (Primary Fund),Equipment (Secondary Fund) 
232,Secondary Fund to Tertiary Fund,Equipment (Secondary Fund),Equipment (Tertiary Fund)
233,Grant to Primary Fund,Grant,Equipment (Primary Fund)
234,Grant to Secondary Fund,Grant,Equipment (Secondary Fund)
235,Grant to Tertiary Fund,Grant,Equipment (Tertiary Fund)
236,Grant to Contract,Grant,Grant (Contract)
237,Contract to Contract,Grant (Contract) ,Grant (Contract)
238,Payment to Appropriation,Grant (Payment),Equipment (Appropriation)
